2789,4112
3602,1132
1434,3415
3230,1996
3217,594
382,1946
2815,3665
2850,2375
4293,2046
2154,4114
3985,385
1467,4215
4193,1085
3540,2403
3538,57
2621,1634
3008,3974
2778,3002
2917,2046
669,2989
1943,1910
1714,2153
2974,2167
952,3337
2851,1228
4193,3944
1423,522
3106,1655
3334,306
3716,3963
3199,3665
3505,1089
1541,1946
321,1093
1225,2241
2163,3065
4366,1367
2161,4396
4193,2046
3281,2091
3250,1516
3568,1363
1222,407
3576,1767
919,107
1979,1940
4020,536
1452,4256
1313,6
3596,1316
384,289
339,4337
1886,775
931,3000
2813,613
2797,2027
4307,756
2235,2246
722,2718
1047,82
2084,2403
384,901
4081,2532
1735,3798
2291,3464
2119,1797
3028,3767
2973,587
599,1969
2199,2171
840,3442
3369,525
3285,4064
2757,2366
232,2542
4100,1371
2779,860
145,3060
3071,1464
2228,181
3846,2650
4388,3768
2291,3904
3615,552
1466,2756
1862,184
2828,474
115,3523
1826,1253
587,264
4024,3878
4150,3320
1203,4193
4184,3796
1432,760
3840,3974
2124,3030
213,4346
4204,589
3135,429
811,4233
1069,57
1116,920
2423,4193
787,4358
1750,780
542,700
2586,527
77,586
1027,2370
2654,1703
76,3684
3061,2321
918,2902
1706,3734
2774,2403
935,432
64,1101
4331,526
1751,3845
1168,2735
2023,323
3885,3821
1601,2448
633,3815
3557,1687
2820,3859
679,1975
2617,3572
3142,1998
3841,2394
2570,287
3829,381
2559,3290
1268,3731
1421,67
258,3702
1507,3169
475,3961
1390,2111
2767,1221
1736,698
3410,67
418,1215
2705,2385
585,260
302,3703
3325,3980
3674,137
2991,4193
887,2373
447,3537
1923,1726
946,1865
2659,2607
4123,453
774,4373
3461,1794
1830,75
608,2229
1826,2199
3387,1544
2568,1435
4020,4294
597,2321
1964,3487
3876,1865
379,941
2229,2196
3700,1519
1334,4233
2433,2074
2447,695
1244,2183
664,2800
984,3238
89,1947
1428,1518
969,1928
4193,323
2880,3707
430,1099
1128,1795
258,2061
1661,1103
3233,2774
4004,1286
3659,553
246,2347
516,257
2919,1761
1205,3810
2088,730
10,3520
4135,4233
4340,2844
11,3975
2969,2052
2575,36
3656,1138
1428,3523
2606,3468
249,1241
693,2074
3236,1865
2659,1416
3101,3074
1856,1199
124,3703
307,1461
3670,2899
3283,3584
1958,529
226,1561
422,1001
1018,4114
2628,152
77,2302
78,1490
1524,4218
1268,2547
3881,2200
332,1068
3304,1542
942,2294
2058,1752
3634,3823
390,3024
50,1796
244,4258
3976,3715
66,3081
680,2488
1854,2585
103,1928
641,3250
2624,4271
2392,1442
3264,2807
4225,1144
2578,2409
1964,4238
4109,1675
3411,1250
3853,323
1200,2653
734,1627
246,2485
2693,3715
2859,4052
293,1560
3452,1137
2374,2612
2889,619
1604,1768
737,3882
2165,2374
1429,1793
2878,1735
3742,721
114,3572
3826,1589
1245,3326
1142,1795
1087,2408
1130,411
3946,137
2917,116
2970,865
1866,4294
947,3115
1419,2208
823,304
2920,1459
2852,132
2125,1504
732,3906
2296,769
4401,2403
3019,2935
2965,2931
1355,2165
1939,3481
3432,3234
1168,514
4193,1316
1068,284
4257,766
869,899
448,15
423,4237
4170,3727
4183,1700
111,1857
1031,2214
2435,415
3411,27
2541,450
1516,433
2165,2793
444,2628
2850,3310
457,3921
2870,1214
4202,1132
1981,1734
535,3674
550,3960
4349,2598
3367,3245
1356,2905
1382,3943
334,2165
849,3008
2579,194
2042,4074
3146,288
872,3731
2095,3567
518,1067
1590,1603
3806,2662
569,1616
3118,2540
2691,3877
1830,882
4079,3002
1203,2485
1629,2171
3374,3410
1081,1865
2485,1857
3307,4242
1313,2091
3406,1634
2720,3826
2808,1380
1901,2243
488,6
1247,207
548,1374
1242,2168
1050,2687
401,1664
2929,1407
4020,2374
2878,1947
2850,2020
1405,3157
2268,1132
3528,1799
4046,4193
4105,2713
4166,260
3273,3250
2274,3629
1407,780
2048,123
4038,1604
3709,1316
3442,1109
372,2087
778,1898
2659,3845
1543,2542
597,3189
642,3112
3953,2436
453,1734
2060,613
943,3191
1052,1634
1387,3843
2297,3376
1790,3545
641,4114
3063,3327
2412,1592
3896,893
2786,139
1367,1908
493,2220
4142,2673
4374,3588
2175,1546
1535,1563
2818,3883
3365,1747
745,3005
1326,3708
1196,497
4270,2179
3368,2971
4211,1910
2468,190
3981,947
1440,1157
3987,3282
3105,184
931,306
791,3588
916,3498
1438,1293
1381,2728
2323,2632
2506,636
1953,2942
820,2820
2617,1122
3821,1268
1186,3558
3596,1544
1221,2171
3307,2033
715,1291
6,730
4342,320
4094,714
191,21
1203,2540
3941,28
1909,4015
4067,2294
2287,3565
91,2299
3384,1868
1021,595
3648,3381
4031,3037
393,132
3889,2165
3470,3383
1064,2068
844,57
1836,771
